customer_id,signup_date,acquisition_channel,customer_email,country,city
C00071,2024-05-31,Organic Search,cust71@example.com,IN,NYC
C00072,2024-08-08,Paid Search,cust72@example.com,UK,Toronto
C00073,2024-02-01,Email,cust73@example.com,CA,NYC
C00074,2023-12-05,Paid Search,cust74@example.com,IN,Bangalore
C00075,2023-02-05,Email,cust75@example.com,IN,Pune
C00076,2023-11-28,Paid Search,cust76@example.com,IN,NYC
C00077,2024-04-26,Paid Search,cust77@example.com,UK,NYC
C00078,2023-01-02,Social Ads,,IN,NYC
C00079,2023-03-06,Social Ads,cust79@example.com,CA,Sydney
C00080,2023-12-31,Organic Search,cust80@example.com,UK,Sydney
C00081,2024-07-18,Influencer,cust81@example.com,AU,Mumbai
C00082,2024-09-24,Influencer,cust82@example.com,IN,Pune
C00083,2023-01-28,Influencer,cust83@example.com,IN,NYC
C00084,2023-11-28,Paid Search,cust84@example.com,UK,Delhi
C00085,2024-10-09,Social Ads,cust85@example.com,US,London
C00086,2023-02-08,Email,cust86@example.com,US,London
C00087,2024-02-22,Organic Search,cust87@example.com,IN,NYC
C00088,2024-01-07,Paid Search,cust88@example.com,US,Toronto
C00089,2024-01-13,Direct,cust89@example.com,US,Toronto
C00090,2023-10-26,Direct,cust90@example.com,US,Pune
C00091,2023-01-15,Direct,cust91@example.com,CA,Delhi
C00092,2023-02-19,Organic Search,cust92@example.com,IN,London
C00093,2023-12-02,Email,cust93@example.com,CA,Pune
C00094,2023-03-06,Paid Search,cust94@example.com,UK,Mumbai
C00095,2023-03-19,Paid Search,cust95@example.com,IN,London
C00096,2024-02-17,Paid Search,cust96@example.com,IN,Sydney
C00097,2023-09-27,Influencer,cust97@example.com,CA,NYC
C00098,2023-07-01,Email,cust98@example.com,AU,Toronto
C00099,2023-11-24,Email,cust99@example.com,CA,Delhi
C00100,2023-10-09,Direct,cust100@example.com,AU,London
C00101,2023-06-11,Organic Search,cust101@example.com,IN,Delhi
C00102,2024-08-01,Direct,cust102@example.com,IN,Mumbai
C00103,2024-10-11,Social Ads,cust103@example.com,IN,Pune
C00104,2023-12-10,Social Ads,cust104@example.com,US,NYC
C00105,2023-06-06,Email,cust105@example.com,US,Pune
C00106,2023-11-17,Paid Search,cust106@example.com,US,Delhi
C00107,2024-10-30,Direct,cust107@example.com,US,NYC
C00108,2024-05-29,Paid Search,cust108@example.com,IN,Delhi
C00109,2024-05-21,Email,cust109@example.com,IN,NYC
C00110,2024-09-18,Social Ads,cust110@example.com,AU,London
C00111,2024-02-19,Direct,cust111@example.com,US,Delhi
C00112,2024-08-28,Influencer,cust112@example.com,AU,Bangalore
C00113,2024-08-18,Direct,cust113@example.com,AU,Mumbai
C00114,2024-10-13,Organic Search,cust114@example.com,IN,NYC
C00115,2024-09-08,Direct,cust115@example.com,AU,Pune
C00116,2024-07-27,Organic Search,cust116@example.com,IN,Pune
C00117,2024-08-05,Email,,IN,London
C00118,2023-08-17,Email,cust118@example.com,IN,Toronto
C00119,2024-01-13,Direct,cust119@example.com,UK,Pune
C00120,2023-10-30,Direct,cust120@example.com,IN,NYC
C00121,2023-03-13,Social Ads,cust121@example.com,IN,Delhi
C00122,2023-04-27,Direct,cust122@example.com,US,London
C00123,2024-03-10,Organic Search,cust123@example.com,CA,NYC
C00124,2023-11-09,Influencer,cust124@example.com,IN,NYC
C00125,2023-01-16,Paid Search,cust125@example.com,UK,Pune
C00126,2023-01-01,Organic Search,cust126@example.com,CA,Delhi
C00127,2023-11-12,Organic Search,cust127@example.com,US,Bangalore
C00128,2024-08-10,Direct,cust128@example.com,IN,Delhi
C00129,2024-10-27,Organic Search,cust129@example.com,CA,Toronto
C00130,2024-08-23,Social Ads,cust130@example.com,IN,Delhi
C00131,2023-10-14,Direct,cust131@example.com,IN,Toronto
C00132,2024-08-30,Influencer,cust132@example.com,US,Delhi
C00133,2024-11-08,Organic Search,cust133@example.com,UK,Sydney
C00134,2023-11-14,Email,,UK,Bangalore
C00135,2023-01-23,Social Ads,cust135@example.com,UK,Mumbai
C00136,2023-01-01,Email,cust136@example.com,IN,Mumbai
C00137,2023-05-21,Email,cust137@example.com,US,NYC
C00138,2024-02-18,Paid Search,cust138@example.com,IN,NYC
C00139,2023-02-20,Paid Search,cust139@example.com,US,Toronto
C00140,2024-04-04,Direct,cust140@example.com,CA,Delhi
C00141,2023-12-03,Organic Search,cust141@example.com,CA,Toronto
C00142,2023-01-13,Email,cust142@example.com,IN,Toronto
C00143,2023-01-07,Paid Search,cust143@example.com,IN,NYC
C00144,2023-02-27,Direct,cust144@example.com,IN,London
C00145,2024-02-02,Influencer,cust145@example.com,IN,Sydney
C00146,2024-04-14,Social Ads,cust146@example.com,AU,Mumbai
C00147,2024-10-17,Organic Search,cust147@example.com,UK,Toronto
C00148,2024-10-25,Email,cust148@example.com,US,Sydney
C00149,2023-02-26,Direct,cust149@example.com,UK,Pune
C00150,2023-12-03,Organic Search,cust150@example.com,IN,Pune
C00151,2023-02-12,Organic Search,cust151@example.com,AU,Pune
C00152,2023-08-19,Email,cust152@example.com,AU,NYC
C00153,2024-04-06,Email,cust153@example.com,UK,London
C00154,2023-08-21,Email,cust154@example.com,IN,Delhi
C00155,2024-04-21,Organic Search,cust155@example.com,IN,Bangalore
C00156,2023-05-02,Social Ads,cust156@example.com,AU,NYC
C00157,2023-08-31,Paid Search,cust157@example.com,IN,Mumbai
C00158,2023-12-26,Email,cust158@example.com,IN,Bangalore
C00159,2024-09-03,Social Ads,cust159@example.com,IN,Delhi
C00160,2023-07-18,Paid Search,cust160@example.com,US,NYC
C00161,2024-05-28,Organic Search,cust161@example.com,CA,Sydney
C00162,2024-03-18,Paid Search,cust162@example.com,IN,London
C00163,2023-12-11,Organic Search,cust163@example.com,IN,Toronto
C00164,2024-02-10,Influencer,cust164@example.com,US,Mumbai
C00165,2024-11-09,Paid Search,cust165@example.com,IN,Toronto
C00166,2024-02-24,Paid Search,cust166@example.com,IN,Pune
C00167,2023-02-21,Organic Search,cust167@example.com,IN,London
C00168,2023-04-13,Paid Search,cust168@example.com,CA,Mumbai
C00169,2023-04-27,Organic Search,cust169@example.com,UK,NYC
C00170,2024-01-09,Direct,cust170@example.com,IN,Sydney
C00171,2024-08-30,Organic Search,cust171@example.com,IN,Pune
C00172,2023-03-28,Organic Search,cust172@example.com,US,Delhi
C00173,2023-11-13,Social Ads,cust173@example.com,US,London
C00174,2024-04-26,Paid Search,cust174@example.com,US,London
C00175,2024-10-28,Influencer,cust175@example.com,US,Sydney
C00176,2024-01-01,Paid Search,cust176@example.com,IN,London
C00177,2023-08-04,Influencer,cust177@example.com,US,Pune
C00178,2023-05-12,Influencer,cust178@example.com,IN,Sydney
C00179,2023-05-05,Influencer,cust179@example.com,CA,Pune
C00180,2023-01-13,Organic Search,cust180@example.com,AU,Mumbai
C00181,2023-01-22,Social Ads,cust181@example.com,US,Delhi
C00182,2024-10-20,Direct,cust182@example.com,US,London
C00183,2024-04-05,Social Ads,cust183@example.com,CA,Mumbai
C00184,2024-11-26,Direct,cust184@example.com,IN,Delhi
C00185,2024-09-06,Paid Search,cust185@example.com,US,London
C00186,2024-09-22,Direct,cust186@example.com,AU,Mumbai
C00187,2023-03-26,Email,,IN,Bangalore
C00188,2024-03-02,Email,cust188@example.com,US,Mumbai
C00189,2023-06-16,Paid Search,cust189@example.com,IN,Delhi
C00190,2023-04-28,Influencer,cust190@example.com,US,NYC
C00191,2024-08-27,Email,cust191@example.com,IN,Pune
C00192,2023-03-18,Organic Search,cust192@example.com,IN,Bangalore
C00193,2024-03-01,Direct,cust193@example.com,UK,Delhi
C00194,2023-12-31,Direct,cust194@example.com,AU,NYC
C00195,2024-09-20,Organic Search,cust195@example.com,IN,NYC
C00196,2023-12-02,Organic Search,cust196@example.com,US,NYC
C00197,2023-07-19,Paid Search,cust197@example.com,US,Toronto
C00198,2023-03-04,Influencer,cust198@example.com,CA,Pune
C00199,2023-03-27,Organic Search,cust199@example.com,IN,NYC
C00200,2023-05-10,Paid Search,cust200@example.com,IN,Toronto
C00201,2024-11-05,Email,cust201@example.com,US,Toronto
C00202,2024-01-04,Organic Search,,US,NYC
C00203,2024-09-10,Organic Search,cust203@example.com,US,Pune
C00204,2023-09-10,Social Ads,cust204@example.com,US,Delhi
C00205,2024-06-30,Paid Search,cust205@example.com,IN,Pune
C00206,2024-07-20,Direct,cust206@example.com,IN,NYC
C00207,2023-04-28,Influencer,cust207@example.com,IN,Mumbai
C00208,2023-05-05,Paid Search,cust208@example.com,IN,Delhi
C00209,2023-06-12,Paid Search,cust209@example.com,US,Pune
C00210,2023-07-12,Email,cust210@example.com,IN,NYC
C00211,2024-05-17,Influencer,cust211@example.com,IN,Delhi
C00212,2024-02-27,Paid Search,cust212@example.com,UK,Bangalore
C00213,2023-03-01,Direct,cust213@example.com,IN,Delhi
C00214,2023-08-29,Email,cust214@example.com,AU,Bangalore
C00215,2024-07-14,Organic Search,cust215@example.com,AU,Pune
C00216,2024-04-21,Organic Search,cust216@example.com,IN,Pune
C00217,2024-11-26,Influencer,cust217@example.com,UK,London
C00218,2023-08-22,Email,cust218@example.com,CA,NYC
C00219,2024-04-28,Organic Search,cust219@example.com,IN,Mumbai
C00220,2024-07-29,Organic Search,cust220@example.com,CA,Delhi
C00221,2024-10-11,Organic Search,cust221@example.com,IN,NYC
C00222,2024-05-31,Direct,cust222@example.com,US,Bangalore
C00223,2024-03-12,Organic Search,cust223@example.com,IN,Toronto
C00224,2023-12-21,Organic Search,cust224@example.com,IN,Sydney
C00225,2023-07-04,Paid Search,cust225@example.com,CA,Mumbai
C00226,2023-12-23,Direct,cust226@example.com,CA,Pune
C00227,2023-12-27,Social Ads,cust227@example.com,CA,NYC
C00228,2023-10-01,Email,cust228@example.com,US,NYC
C00229,2023-09-24,Direct,cust229@example.com,UK,Toronto
C00230,2023-05-29,Direct,cust230@example.com,IN,Delhi
C00231,2024-05-01,Paid Search,cust231@example.com,US,Mumbai
C00232,2024-02-07,Email,cust232@example.com,US,Mumbai
C00233,2024-02-29,Direct,cust233@example.com,US,Mumbai
C00234,2024-07-31,Influencer,cust234@example.com,US,Bangalore
C00235,2023-04-05,Social Ads,cust235@example.com,CA,Toronto
C00236,2024-02-21,Social Ads,cust236@example.com,IN,Sydney
C00237,2024-03-24,Organic Search,cust237@example.com,US,Delhi
C00238,2023-09-28,Email,cust238@example.com,IN,London
C00239,2024-11-27,Organic Search,cust239@example.com,CA,Delhi
C00240,2023-04-30,Organic Search,cust240@example.com,IN,Sydney
C00241,2024-04-29,Organic Search,cust241@example.com,CA,Mumbai
C00242,2023-06-12,Organic Search,cust242@example.com,US,London
C00243,2023-10-26,Organic Search,cust243@example.com,IN,NYC
C00244,2023-09-05,Email,cust244@example.com,IN,NYC
C00245,2024-06-22,Organic Search,cust245@example.com,US,London
C00246,2024-07-07,Email,cust246@example.com,IN,NYC
C00247,2023-05-31,Organic Search,cust247@example.com,CA,Pune
C00248,2023-02-15,Organic Search,cust248@example.com,IN,Delhi
C00249,2023-11-15,Direct,cust249@example.com,US,Bangalore
C00250,2024-08-28,Organic Search,cust250@example.com,UK,NYC
C00251,2023-10-04,Email,cust251@example.com,AU,Mumbai
C00252,2023-03-13,Influencer,cust252@example.com,UK,Toronto
C00253,2023-06-28,Direct,cust253@example.com,CA,NYC
C00254,2024-07-31,Email,cust254@example.com,US,Mumbai
C00255,2024-03-05,Organic Search,cust255@example.com,IN,Toronto
C00256,2024-11-22,Paid Search,cust256@example.com,IN,Sydney
C00257,2024-05-16,Organic Search,cust257@example.com,IN,NYC
C00258,2023-12-23,Paid Search,cust258@example.com,CA,Bangalore
C00259,2024-06-26,Influencer,cust259@example.com,IN,NYC
C00260,2024-01-20,Direct,cust260@example.com,IN,Sydney
C00261,2023-02-27,Social Ads,cust261@example.com,UK,Mumbai
C00262,2024-11-14,Influencer,,IN,Bangalore
C00263,2024-06-26,Influencer,cust263@example.com,IN,Pune
C00264,2023-08-14,Organic Search,cust264@example.com,IN,NYC
C00265,2024-02-12,Influencer,cust265@example.com,US,Delhi
C00266,2023-01-31,Organic Search,cust266@example.com,IN,Toronto
C00267,2023-10-30,Paid Search,cust267@example.com,CA,London
C00268,2024-10-11,Influencer,cust268@example.com,IN,NYC
C00269,2023-07-20,Direct,cust269@example.com,AU,Mumbai
C00270,2024-01-16,Influencer,cust270@example.com,CA,London
C00271,2024-05-24,Direct,cust271@example.com,IN,London
C00272,2024-06-11,Paid Search,cust272@example.com,UK,Pune
C00273,2023-04-03,Influencer,cust273@example.com,IN,Delhi
C00274,2023-04-16,Paid Search,cust274@example.com,UK,Mumbai
C00275,2023-12-22,Paid Search,cust275@example.com,US,Sydney
C00276,2024-02-09,Direct,cust276@example.com,IN,Pune
C00277,2023-01-07,Organic Search,cust277@example.com,CA,Toronto
C00278,2023-05-16,Direct,cust278@example.com,IN,NYC
C00279,2024-05-28,Email,cust279@example.com,IN,NYC
C00280,2024-01-13,Email,cust280@example.com,AU,Bangalore
C00281,2024-06-06,Organic Search,cust281@example.com,IN,Delhi
C00282,2024-06-13,Direct,cust282@example.com,US,Pune
C00283,2023-09-15,Paid Search,cust283@example.com,AU,Delhi
C00284,2023-04-07,Influencer,,IN,Pune
C00285,2024-03-09,Paid Search,cust285@example.com,IN,Sydney
C00286,2024-09-03,Email,cust286@example.com,IN,Pune
C00287,2024-01-29,Email,cust287@example.com,US,Pune
C00288,2024-02-26,Organic Search,cust288@example.com,US,Delhi
C00289,2023-02-10,Paid Search,cust289@example.com,UK,Sydney
C00290,2024-07-31,Email,cust290@example.com,IN,Mumbai
C00291,2023-10-31,Organic Search,cust291@example.com,US,Delhi
C00292,2024-06-20,Influencer,cust292@example.com,IN,London
C00293,2024-03-21,Direct,cust293@example.com,IN,London
C00294,2024-06-07,Influencer,cust294@example.com,IN,Bangalore
C00295,2023-09-11,Paid Search,cust295@example.com,IN,London
C00296,2024-02-15,Influencer,cust296@example.com,UK,Delhi
C00297,2023-07-01,Paid Search,cust297@example.com,AU,NYC
C00298,2023-12-03,Paid Search,cust298@example.com,UK,Pune
C00299,2023-02-26,Influencer,cust299@example.com,IN,Mumbai
C00300,2023-01-05,Organic Search,cust300@example.com,IN,Mumbai
C00301,2024-06-09,Influencer,cust301@example.com,IN,Bangalore
C00302,2023-02-01,Organic Search,cust302@example.com,IN,London
C00303,2023-06-24,Paid Search,cust303@example.com,IN,NYC
C00304,2023-07-07,Organic Search,cust304@example.com,IN,Pune
C00305,2024-09-26,Organic Search,cust305@example.com,IN,Sydney
C00306,2023-03-02,Organic Search,cust306@example.com,US,Toronto
C00307,2024-01-28,Social Ads,cust307@example.com,IN,Toronto
C00308,2024-03-13,Email,cust308@example.com,IN,Sydney
C00309,2023-05-19,Email,cust309@example.com,CA,Toronto
C00310,2024-11-08,Organic Search,cust310@example.com,UK,Sydney
C00311,2023-06-25,Direct,cust311@example.com,US,NYC
C00312,2023-06-09,Paid Search,cust312@example.com,UK,Mumbai
C00313,2024-01-16,Organic Search,cust313@example.com,US,NYC
C00314,2023-04-09,Influencer,cust314@example.com,IN,Toronto
C00315,2023-10-16,Influencer,cust315@example.com,IN,Toronto
C00316,2023-03-20,Paid Search,cust316@example.com,UK,Mumbai
C00317,2023-05-21,Paid Search,cust317@example.com,IN,London
C00318,2024-06-11,Organic Search,cust318@example.com,US,Bangalore
C00319,2024-09-01,Organic Search,cust319@example.com,CA,Pune
C00320,2024-01-26,Email,cust320@example.com,IN,Bangalore
C00321,2024-01-13,Email,cust321@example.com,US,Mumbai
C00322,2023-10-06,Organic Search,cust322@example.com,IN,Bangalore
C00323,2024-01-02,Paid Search,cust323@example.com,US,NYC
C00324,2023-08-07,Influencer,cust324@example.com,AU,Pune
C00325,2023-04-21,Influencer,cust325@example.com,IN,Delhi
C00326,2023-09-12,Direct,cust326@example.com,US,Bangalore
C00327,2023-05-22,Organic Search,cust327@example.com,US,Delhi
C00328,2023-08-08,Direct,cust328@example.com,AU,Mumbai
C00329,2024-07-16,Email,cust329@example.com,IN,Sydney
C00330,2023-03-27,Influencer,cust330@example.com,CA,Pune
C00331,2023-10-27,Organic Search,,US,Mumbai
C00332,2023-01-21,Direct,cust332@example.com,IN,Delhi
C00333,2023-05-12,Direct,cust333@example.com,US,Delhi
C00334,2024-06-15,Social Ads,cust334@example.com,US,Mumbai
C00335,2023-09-08,Email,cust335@example.com,IN,Pune
C00336,2023-06-21,Organic Search,cust336@example.com,UK,Delhi
C00337,2023-04-10,Paid Search,cust337@example.com,UK,Mumbai
C00338,2023-11-01,Email,cust338@example.com,UK,London
C00339,2024-11-16,Influencer,cust339@example.com,US,Pune
C00340,2023-08-09,Organic Search,cust340@example.com,IN,Bangalore
C00341,2023-06-09,Direct,cust341@example.com,US,Bangalore
C00342,2024-08-29,Organic Search,cust342@example.com,IN,Mumbai
C00343,2023-08-01,Influencer,cust343@example.com,AU,Sydney
C00344,2024-07-19,Organic Search,cust344@example.com,US,London
C00345,2024-04-14,Email,cust345@example.com,IN,London
C00346,2023-06-08,Paid Search,cust346@example.com,IN,Sydney
C00347,2023-03-19,Paid Search,cust347@example.com,UK,Pune
C00348,2024-11-07,Organic Search,cust348@example.com,CA,Delhi
C00349,2024-06-11,Direct,,CA,Sydney
C00350,2024-01-27,Email,cust350@example.com,US,Bangalore
C00351,2023-03-20,Influencer,cust351@example.com,IN,London
C00352,2023-02-02,Email,cust352@example.com,AU,NYC
C00353,2023-07-28,Paid Search,cust353@example.com,IN,Bangalore
C00354,2024-09-06,Direct,cust354@example.com,IN,Toronto
C00355,2023-05-10,Organic Search,cust355@example.com,UK,London
C00356,2023-10-28,Paid Search,cust356@example.com,US,NYC
C00357,2023-02-14,Direct,cust357@example.com,IN,NYC
C00358,2024-01-03,Organic Search,cust358@example.com,IN,Toronto
C00359,2024-02-05,Email,cust359@example.com,IN,Bangalore
C00360,2023-11-22,Organic Search,cust360@example.com,IN,London
C00361,2024-02-29,Influencer,cust361@example.com,UK,Bangalore
C00362,2024-04-18,Organic Search,cust362@example.com,UK,Delhi
C00363,2024-04-01,Social Ads,cust363@example.com,UK,Mumbai
C00364,2023-07-08,Paid Search,cust364@example.com,IN,NYC
C00365,2023-11-27,Organic Search,cust365@example.com,IN,Mumbai
C00366,2023-11-12,Email,cust366@example.com,US,Toronto
C00367,2023-07-16,Organic Search,cust367@example.com,IN,London
C00368,2023-02-04,Direct,cust368@example.com,IN,Sydney
C00369,2024-07-15,Email,cust369@example.com,IN,London
C00370,2023-07-14,Direct,cust370@example.com,UK,NYC
C00371,2023-08-30,Email,cust371@example.com,US,Delhi
C00372,2023-02-01,Email,cust372@example.com,IN,Toronto
C00373,2023-10-23,Paid Search,cust373@example.com,UK,Bangalore
C00374,2024-04-17,Paid Search,cust374@example.com,CA,NYC
C00375,2023-01-02,Influencer,cust375@example.com,IN,Sydney
C00376,2023-01-29,Direct,cust376@example.com,US,Mumbai
C00377,2023-11-16,Paid Search,cust377@example.com,IN,Bangalore
C00378,2024-09-22,Paid Search,cust378@example.com,UK,Pune
C00379,2024-04-13,Influencer,cust379@example.com,US,Pune
C00380,2023-12-18,Organic Search,cust380@example.com,IN,Delhi
C00381,2024-05-21,Organic Search,cust381@example.com,IN,Toronto
C00382,2024-11-24,Direct,cust382@example.com,US,Delhi
C00383,2023-12-07,Email,cust383@example.com,IN,Mumbai
C00384,2023-06-01,Email,cust384@example.com,IN,NYC
C00385,2024-04-29,Paid Search,cust385@example.com,IN,NYC
C00386,2024-08-26,Email,cust386@example.com,IN,Delhi
C00387,2024-08-23,Social Ads,cust387@example.com,IN,Toronto
C00388,2023-01-09,Paid Search,cust388@example.com,IN,Toronto
C00389,2023-09-20,Organic Search,cust389@example.com,IN,Toronto
C00390,2024-06-17,Social Ads,cust390@example.com,US,Pune
C00391,2024-03-21,Paid Search,cust391@example.com,IN,Mumbai
C00392,2023-03-12,Direct,cust392@example.com,AU,Toronto
C00393,2024-11-22,Email,cust393@example.com,IN,NYC
C00394,2023-06-09,Social Ads,cust394@example.com,IN,Pune
C00395,2023-01-28,Organic Search,cust395@example.com,IN,Pune
C00396,2023-08-08,Organic Search,cust396@example.com,IN,Pune
C00397,2023-03-23,Social Ads,cust397@example.com,AU,Bangalore
C00398,2024-11-27,Email,cust398@example.com,US,London
C00399,2023-09-30,Paid Search,cust399@example.com,US,NYC
C00400,2023-12-01,Email,cust400@example.com,IN,Sydney
C00401,2023-11-05,Paid Search,cust401@example.com,IN,Mumbai
C00402,2023-12-22,Influencer,cust402@example.com,AU,Bangalore
C00403,2023-09-01,Email,cust403@example.com,IN,Sydney
C00404,2024-07-25,Organic Search,cust404@example.com,UK,Pune
C00405,2024-03-12,Email,cust405@example.com,IN,NYC
C00406,2023-04-14,Direct,cust406@example.com,CA,Sydney
C00407,2024-11-05,Social Ads,cust407@example.com,US,Bangalore
C00408,2023-01-27,Influencer,cust408@example.com,IN,Toronto
C00409,2023-07-13,Direct,cust409@example.com,IN,Delhi
C00410,2023-12-26,Organic Search,cust410@example.com,US,Sydney
C00411,2023-09-20,Paid Search,cust411@example.com,UK,Sydney
C00412,2024-02-29,Social Ads,cust412@example.com,UK,NYC
C00413,2024-11-17,Paid Search,cust413@example.com,UK,Bangalore
C00414,2024-07-18,Email,cust414@example.com,IN,NYC
C00415,2023-11-04,Direct,cust415@example.com,IN,London
C00416,2023-06-29,Organic Search,cust416@example.com,IN,Sydney
C00417,2023-01-14,Email,cust417@example.com,UK,London
C00418,2024-01-05,Influencer,cust418@example.com,UK,Mumbai
C00419,2023-07-15,Organic Search,cust419@example.com,IN,Delhi
C00420,2023-05-21,Social Ads,cust420@example.com,IN,Delhi
C00421,2024-05-31,Direct,cust421@example.com,IN,Toronto
C00422,2024-10-17,Direct,cust422@example.com,AU,Delhi
C00423,2024-03-05,Organic Search,cust423@example.com,IN,Toronto
C00424,2024-04-26,Organic Search,cust424@example.com,US,London
C00425,2024-07-19,Social Ads,cust425@example.com,CA,Delhi
C00426,2024-08-31,Influencer,cust426@example.com,AU,Bangalore
C00427,2024-05-09,Organic Search,cust427@example.com,IN,Sydney
C00428,2023-05-28,Direct,cust428@example.com,IN,Toronto
C00429,2023-10-11,Social Ads,cust429@example.com,US,Mumbai
C00430,2024-01-20,Organic Search,cust430@example.com,IN,Delhi
C00431,2024-03-29,Organic Search,cust431@example.com,US,London
C00432,2023-11-14,Direct,cust432@example.com,US,Pune
C00433,2023-06-19,Influencer,cust433@example.com,UK,London
C00434,2024-01-30,Organic Search,cust434@example.com,UK,Bangalore
C00435,2023-12-14,Paid Search,cust435@example.com,US,Delhi
C00436,2023-07-10,Paid Search,cust436@example.com,IN,NYC
C00437,2023-02-02,Paid Search,cust437@example.com,IN,Pune
C00438,2023-11-23,Paid Search,cust438@example.com,IN,Bangalore
C00439,2023-03-13,Paid Search,cust439@example.com,AU,Bangalore
C00440,2024-02-05,Social Ads,cust440@example.com,IN,London
C00441,2023-09-22,Social Ads,cust441@example.com,US,Pune
C00442,2024-01-31,Social Ads,cust442@example.com,US,Sydney
C00443,2023-04-27,Influencer,cust443@example.com,CA,Bangalore
C00444,2023-04-01,Influencer,cust444@example.com,IN,Bangalore
C00445,2024-07-01,Influencer,cust445@example.com,IN,Toronto
C00446,2023-09-27,Direct,cust446@example.com,IN,Toronto
C00447,2023-09-16,Paid Search,cust447@example.com,UK,Pune
